Dates,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,NIFTY 50
2019-12-31,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
2020-03-31,71189.67,82774.78,84066.06,92169.6,92169.6,67751.28
2020-06-30,98220.9,99621.78,102259.1,115410.99,122353.51,85615.02
2020-09-30,125143.57,105745.49,122398.4,165951.59,176014.11,93715.99
2020-12-31,180276.91,122296.06,137810.14,194409.61,204614.62,115070.8
2021-03-31,263144.55,133359.64,150532.25,237008.47,237780.97,122038.58
2021-06-30,342297.81,148916.45,168347.42,308815.25,314268.14,128709.22
2021-09-30,348292.13,180119.75,202720.52,328173.63,351101.78,143911.77
2021-12-31,401429.47,184228.7,207656.71,343145.89,365291.85,144680.48
2022-03-31,409571.32,175274.13,196987.12,367041.78,405914.58,145047.81
2022-06-30,374442.44,146479.11,164878.14,324732.17,358926.6,129300.64
2022-09-30,450623.52,171105.3,192431.71,412223.39,455344.75,138619.74
2022-12-31,475417.27,175063.7,196755.07,365317.48,403302.42,149373.69
2023-03-31,492299.47,165142.19,185449.98,405265.01,440997.19,142811.83
2023-06-30,664502.47,198575.24,223366.25,606762.01,660803.66,158609.08
2023-09-30,875086.91,224823.0,252902.06,923235.41,971604.94,160301.67
2023-12-31,1081254.3,255921.24,288079.43,1143858.61,1204717.0,178468.31
