CATEGORY,,INDEPENDENT VARIABLES,,,,,,,DEPENDENT VARIABLES,,,,
Dates,Entity ID,Log Board_Size,PCT_IND_DIR,PCT_Women_On_Board,CEO_DUALITY,Log_Audit_Comm,BOARD_AVERAGE_TENURE,EQY_INST_PCT_SH_OUT,TOT_DEBT_TO_TOT_EQY,RETURN_ON_ASSET,RETURN_COM_EQY,EPS_GROWTH,TOBIN_Q_RATIO
1,1,2.079,0.75,0,0,1.386294361,12.23,0.72029,0.698695,0.056405,0.09697,0.764228,0.013169
2,1,2.197,0.778,0.111,0,1.609437912,11.79,0.78153,0.584852,0.046709,0.079566,-0.092166,0.01457
3,1,2.079,0.75,0.125,0,1.386294361,11.42,0.91426,0.570203,0.044081,0.073022,0.060914,0.014591
4,1,2.197,0.778,0.111,0,1.098612289,9.5,1.10067,0.581685,0.033026,0.054246,-0.138756,0.01485
5,1,2.197,0.778,0.111,0,1.386294361,9.62,1.03005,0.515677,0.03413,0.054749,0.088889,0.015662
6,1,2.303,0.8,0.2,0,1.098612289,9.36,1.17991,0.482256,0.0279,0.043372,-0.102041,0.013787
7,1,2.303,0.8,0.2,0,1.098612289,7.43,1.19705,0.493557,0.026835,0.041658,0.017045,0.013528
8,1,2.197,0.778,0.222,0,1.098612289,7.69,1.04115,0.418975,0.025534,0.037679,0.027933,0.012893
1,2,2.079,0.625,0,0,1.098612289,3.2,1.01348,0.641486,-0.009601,-0.028883,-0.176471,0.010934
2,2,2.197,0.556,0.111,0,1.098612289,3.41,1.10375,0.569996,0.000901,-0.011207,0.65,0.012409
3,2,2.197,0.556,0.111,0,1.098612289,4.41,0.91909,0.402359,0.009691,-0.006148,0.428571,0.012572
4,2,2.197,0.556,0.111,0,1.098612289,5.41,0.98638,0.469311,0.012297,0.005578,0,0.011689
5,2,2.303,0.6,0.2,0,1.386294361,4.59,0.97066,0.470775,0.015583,0.019481,2.625,0.01377
6,2,2.565,0.769,0.231,0,1.609437912,4.43,0.96381,0.435294,0.015018,0.018174,-0.034483,0.014789
7,2,2.565,0.769,0.231,0,1.609437912,5.43,1.00758,0.575873,0.018398,0.025575,0.5,0.01827
8,2,2.565,0.846,0.231,0,1.609437912,6.43,1.01814,0.629437,0.02361,0.042005,0.714286,0.013605
1,3,2.303,0.9,0.3,1,1.098612289,9.19,1.03414,2.550197,0.028446,0.178776,-0.29703,0.023537
2,3,2.303,0.9,0.3,1,1.098612289,10.19,1.01975,2.297304,0.033103,0.17945,0.408451,0.023066
3,3,2.303,0.9,0.3,1,1.386294361,9.86,1.01896,2.540148,0.038659,0.208813,0.345,0.026541
4,3,2.303,0.9,0.3,1,1.098612289,10.86,1.17038,3.064698,0.03734,0.211987,0.037175,0.02952
5,3,2.398,0.909,0.273,1,1.098612289,10.81,1.00492,4.715466,0.049802,0.363335,0.530466,0.0326
6,3,2.398,0.909,0.273,0,1.098612289,10.31,0.97546,7.67949,0.037554,0.369574,-0.107728,0.030249
7,3,2.565,0.923,0.308,0,1.386294361,9.65,0.99978,5.734387,0.043847,0.559735,0.493438,0.028348
8,3,2.565,0.923,0.385,0,1.386294361,9.32,0.9798,3.791836,0.025763,0.331494,-0.326889,0.023851
1,4,2.079,0.75,0.125,1,1.098612289,10.32,1.08678,0.916564,0.01695,0.033064,0.646465,0.013319
2,4,1.946,0.714,0.143,1,1.098612289,10.27,1.19486,0.773655,-0.006852,-0.036478,0,0.01489
3,4,2.079,0.75,0.125,1,1.098612289,9.93,1.09251,0.73495,0.015058,0.027552,0,0.015912
4,4,2.079,0.75,0.125,1,1.098612289,10.93,1.12405,0.693914,0.028553,0.055346,1.220126,0.013813
5,4,2.079,0.75,0.125,1,1.098612289,11.93,1.07303,0.693385,0.022107,0.043484,-0.113314,0.015793
6,4,2.197,0.778,0.222,1,1.098612289,11.58,1.0023,0.598295,0.037409,0.073894,0.926518,0.015535
7,4,1.946,0.857,0.286,0,1.386294361,10.8,1.03795,0.489165,0.021537,0.040365,-0.364842,0.016303
8,4,2.079,0.875,0.375,0,1.098612289,10.43,1.03866,0.465827,0.01587,0.029195,-0.169713,0.011661
1,5,2.303,0.9,0.1,1,1.609437912,8.02,1.02513,0.655493,0.044874,0.078577,0.123732,0.019087
2,5,2.398,0.909,0.182,1,1.386294361,6.6,1.00827,0.690712,0.059428,0.103339,0.359206,0.017923
3,5,2.398,0.909,0.182,1,1.386294361,5.88,1.00336,0.705157,0.048339,0.085306,-0.155378,0.017738
4,5,2.398,0.909,0.182,1,1.609437912,6.88,0.98942,0.661937,0.05297,0.092721,0.108491,0.017331
5,5,2.303,0.9,0.2,1,1.386294361,7.43,0.96247,0.676472,0.041917,0.072701,-0.2,0.019555
